"","ID","gender","zodiac","bornyear","age","residence_status","education_level","marital_status"
"1","094004126001","1 male","12 Pig",1959,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"2","094004126002","2 female","1 Rat",1960,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"3","094004129001","2 female","3 Tiger",1950,NA,"2 Non-agricultural Hukou","9 Four Year College / Bachelors degree","1 Married with spouse present"
"4","094004127001","2 female","11 Dog",1958,NA,"2 Non-agricultural Hukou","8 Two/Three Year College / Associate degree","1 Married with spouse present"
"5","094004127002","1 male","9 Monkey",1956,NA,"2 Non-agricultural Hukou","5 Middle school",NA
"6","094004113002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"7","094004103001","2 female","11 Dog",1984,NA,"2 Non-agricultural Hukou","5 Middle school","5 Widowed"
"8","094004111002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"9","094004111001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"10","094004105001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"11","094004105002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"12","094004110001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"13","094004110002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"14","094004115001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"15","094004115002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"16","094004108001","2 female","3 Tiger",1938,NA,"2 Non-agricultural Hukou","5 Middle school","5 Widowed"
"17","094004112001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"18","094004112002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"19","094004106001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"20","094004128001","1 male","2 Ox",1949,NA,"2 Non-agricultural Hukou","9 Four Year College / Bachelors degree","1 Married with spouse present"
"21","094004128002","2 female","2 Ox",1961,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"22","094004118001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"23","094004118002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"24","094004123002","1 male","9 Monkey",1956,NA,"2 Non-agricultural Hukou","5 Middle school","1 Married with spouse present"
"25","094004123001","2 female","7 Horse",1967,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"26","094004101002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"5 Widowed"
"27","094004104002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"28","094004104001","2 female",NA,NA,NA,"1 Agricultual Hukou",NA,"1 Married with spouse present"
"29","094004120001","1 male","4 Rabbit",1951,NA,"2 Non-agricultural Hukou","8 Two/Three Year College / Associate degree","1 Married with spouse present"
"30","094004120002","2 female","5 Dragon",1952,NA,"2 Non-agricultural Hukou","6 High school","1 Married with spouse present"
"31","094004121001","1 male",NA,1936,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"32","094004121002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"33","094004119002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"2 Married but not living with spouse temporarily for reasons such as work"
"34","094004122001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"35","094004122002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"36","094004109001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"37","094004109002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"38","094004116001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"39","094004116002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"40","094004117002","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"41","094004117001","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"42","094004107001","1 male","9 Monkey",1956,NA,"2 Non-agricultural Hukou","6 High school","4 Divorced"
"43","094004310002","2 female",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
"44","094004310001","1 male",NA,NA,NA,"2 Non-agricultural Hukou",NA,"1 Married with spouse present"
