"","ID","householdID","bornyear11","age11"
"1","01010410101","010104101",1965,NA
"2","01010410102","010104101",1963,NA
"3","01010410201","010104102",1954,NA
"4","01010410202","010104102",1951,NA
"5","01010410301","010104103",1963,NA
"6","01010410302","010104103",1965,NA
"7","01010410401","010104104",1950,NA
"8","01010410402","010104104",NA,NA
"9","01010410501","010104105",1945,NA
"10","01010410502","010104105",1943,NA
"11","01010410601","010104106",1931,NA
"12","01010410602","010104106",1934,NA
"13","01010410701","010104107",1932,NA
"14","01010410801","010104108",1955,NA
"15","01010410802","010104108",1952,NA
"16","01010410901","010104109",1966,NA
"17","01010410902","010104109",1966,NA
"18","01010411001","010104110",1954,NA
"19","01010411002","010104110",1946,NA
"20","01010411101","010104111",1954,NA
"21","01010411201","010104112",1960,NA
"22","01010411202","010104112",1957,NA
"23","01010411301","010104113",1962,NA
"24","01010411302","010104113",1964,NA
"25","01010411401","010104114",1956,NA
"26","01010411402","010104114",1949,NA
"27","01010411501","010104115",1961,NA
"28","01010411502","010104115",1966,NA
"29","01010411601","010104116",1958,NA
"30","01010411602","010104116",1954,NA
"31","01010411701","010104117",1954,NA
"32","01010411702","010104117",1945,NA
"33","01010411801","010104118",1957,NA
"34","01010411802","010104118",1960,NA
"35","01010411901","010104119",1954,NA
"36","01010420101","010104201",1959,NA
"37","01010420102","010104201",1957,NA
"38","01010420201","010104202",1929,NA
"39","01010420202","010104202",1940,NA
"40","01010420301","010104203",1946,NA
"41","01010420302","010104203",1954,NA
"42","01010420401","010104204",1954,NA
"43","01010420501","010104205",1965,NA
"44","01010420502","010104205",1960,NA
"45","01010420601","010104206",1964,NA
"46","01010420602","010104206",1957,NA
"47","01010420701","010104207",1940,NA
"48","01010420702","010104207",1943,NA
"49","01010420801","010104208",1952,NA
"50","01010420901","010104209",1933,NA
"51","01010421001","010104210",1937,NA
"52","01010421101","010104211",1953,NA
"53","01010421102","010104211",1952,NA
"54","01010421201","010104212",1950,NA
"55","01010421301","010104213",1933,NA
"56","01010421401","010104214",NA,NA
"57","01010421402","010104214",1947,NA
"58","01010421501","010104215",1936,NA
"59","01010421502","010104215",1937,NA
"60","01010421601","010104216",1941,NA
"61","01010421701","010104217",1963,NA
"62","01010421702","010104217",1955,NA
"63","01010421801","010104218",1962,NA
"64","01010421802","010104218",1963,NA
"65","01010421901","010104219",1961,NA
"66","01010422001","010104220",1947,NA
"67","01010422101","010104221",1954,NA
"68","01010422102","010104221",1953,NA
"69","01010422201","010104222",1959,NA
"70","01010422202","010104222",1958,NA
"71","01010422301","010104223",1962,NA
"72","01010422302","010104223",1977,NA
"73","01010422401","010104224",1963,NA
"74","01010422402","010104224",1963,NA
"75","01010422501","010104225",1938,NA
"76","01010422601","010104226",1954,NA
"77","01010422602","010104226",1955,NA
"78","01010422701","010104227",1939,NA
"79","01010422801","010104228",1951,NA
"80","01010422802","010104228",1953,NA
"81","01010422901","010104229",1949,NA
"82","01010422902","010104229",1946,NA
"83","01010423001","010104230",1962,NA
"84","01010423101","010104231",1962,NA
"85","01010423201","010104232",1944,NA
"86","01010430101","010104301",1946,NA
"87","01010430102","010104301",1952,NA
"88","01010430201","010104302",1957,NA
"89","01010430202","010104302",1961,NA
"90","01010430301","010104303",1961,NA
"91","01010430302","010104303",1960,NA
"92","01010430401","010104304",1941,NA
"93","01010430501","010104305",1958,NA
"94","01010430601","010104306",1954,NA
"95","01010430602","010104306",1957,NA
"96","01010430701","010104307",1949,NA
"97","01010430702","010104307",1952,NA
"98","01010430801","010104308",1953,NA
"99","01010430901","010104309",1963,NA
"100","01010430902","010104309",1968,NA
"101","01010431001","010104310",1951,NA
"102","01010431002","010104310",1949,NA
"103","01010431101","010104311",1947,NA
"104","01010431102","010104311",1947,NA
"105","01010431201","010104312",1953,NA
"106","01010431202","010104312",1947,NA
"107","01010431301","010104313",1959,NA
"108","01010431302","010104313",1960,NA
"109","01010431401","010104314",1946,NA
"110","01010431402","010104314",1950,NA
"111","01010431501","010104315",1957,NA
"112","01010431502","010104315",1949,NA
"113","01010431601","010104316",1941,NA
"114","01010431602","010104316",1939,NA
"115","01010431701","010104317",1958,NA
"116","01010431702","010104317",1956,NA
"117","01010431801","010104318",1965,NA
"118","01010431802","010104318",1968,NA
"119","01010431901","010104319",1951,NA
"120","01010431902","010104319",1949,NA
"121","01010432001","010104320",1956,NA
"122","01010432002","010104320",1964,NA
"123","01010432101","010104321",1964,NA
"124","01010432102","010104321",1960,NA
"125","01010432201","010104322",1962,NA
"126","01010432202","010104322",1957,NA
"127","01010432301","010104323",1934,NA
"128","01010432302","010104323",1935,NA
"129","01010432401","010104324",1962,NA
"130","01010432402","010104324",1959,NA
"131","01010432501","010104325",1935,NA
"132","01010432601","010104326",1949,NA
"133","01010432701","010104327",1948,NA
"134","01010432702","010104327",1948,NA
"135","01010432801","010104328",1943,NA
"136","01010432802","010104328",1943,NA
"137","01010432901","010104329",1957,NA
"138","01010432902","010104329",1959,NA
"139","01010433001","010104330",1927,NA
"140","01020610101","010206101",1945,NA
"141","01020610102","010206101",1947,NA
"142","01020610201","010206102",1949,NA
"143","01020610202","010206102",1955,NA
"144","01020610301","010206103",1947,NA
"145","01020610302","010206103",1946,NA
"146","01020610401","010206104",1950,NA
"147","01020610402","010206104",1950,NA
"148","01020610501","010206105",1940,NA
"149","01020610502","010206105",1941,NA
"150","01020610601","010206106",1936,NA
"151","01020610602","010206106",1938,NA
"152","01020610701","010206107",1932,NA
"153","01020610702","010206107",1949,NA
"154","01020610801","010206108",1970,NA
"155","01020610802","010206108",1965,NA
"156","01020610901","010206109",1964,NA
"157","01020610902","010206109",1968,NA
"158","01020611001","010206110",1951,NA
"159","01020611101","010206111",1965,NA
"160","01020611102","010206111",1969,NA
"161","01020611201","010206112",1939,NA
"162","01020611202","010206112",1933,NA
"163","01020611301","010206113",1962,NA
"164","01020611302","010206113",1957,NA
"165","01020611401","010206114",1927,NA
"166","01020611501","010206115",1940,NA
"167","01020611601","010206116",1962,NA
"168","01020611602","010206116",1962,NA
"169","01020611701","010206117",1949,NA
"170","01020611702","010206117",1953,NA
"171","01020611801","010206118",1972,NA
"172","01020611802","010206118",1965,NA
"173","01020611901","010206119",1949,NA
"174","01020611902","010206119",1949,NA
"175","01020612001","010206120",1970,NA
"176","01020612002","010206120",1964,NA
"177","01020612101","010206121",1966,NA
"178","01020612102","010206121",1973,NA
"179","01020612201","010206122",1936,NA
"180","01020612301","010206123",1949,NA
"181","01020612302","010206123",1949,NA
"182","01020612401","010206124",1952,NA
"183","01020612402","010206124",1951,NA
"184","01020612501","010206125",1929,NA
"185","01020612601","010206126",1942,NA
"186","01020612602","010206126",1941,NA
"187","01020612701","010206127",1928,NA
"188","01020612702","010206127",1938,NA
"189","01020612801","010206128",1955,NA
"190","01020612802","010206128",1958,NA
"191","01020620101","010206201",1951,NA
"192","01020620102","010206201",1957,NA
"193","01020620201","010206202",1936,NA
"194","01020620301","010206203",1955,NA
"195","01020620401","010206204",1960,NA
"196","01020620501","010206205",1954,NA
"197","01020620502","010206205",NA,NA
"198","01020620602","010206206",1940,NA
"199","01020620701","010206207",1946,NA
"200","01020620801","010206208",1932,NA
"201","01020620901","010206209",1940,NA
"202","01020621001","010206210",1954,NA
"203","01020621101","010206211",1953,NA
"204","01020621102","010206211",1955,NA
"205","01020621201","010206212",1969,NA
"206","01020621202","010206212",1957,NA
"207","01020621302","010206213",1954,NA
"208","01020621401","010206214",1958,NA
"209","01020621402","010206214",1954,NA
"210","01020621501","010206215",1965,NA
"211","01020621502","010206215",1966,NA
"212","01020621601","010206216",1945,NA
"213","01020621602","010206216",1937,NA
"214","01020621701","010206217",1946,NA
"215","01020621702","010206217",1944,NA
"216","01020621801","010206218",1963,NA
"217","01020621802","010206218",1963,NA
"218","01020621901","010206219",1938,NA
"219","01020621902","010206219",1950,NA
"220","01020622001","010206220",1944,NA
"221","01020622002","010206220",1942,NA
"222","01020622101","010206221",1956,NA
"223","01020622102","010206221",1959,NA
"224","01020622201","010206222",1935,NA
"225","01020622202","010206222",1938,NA
"226","01020622301","010206223",1947,NA
"227","01020622302","010206223",1954,NA
"228","01020622401","010206224",1950,NA
"229","01020622402","010206224",1954,NA
"230","01020622501","010206225",1941,NA
"231","01020622601","010206226",1963,NA
"232","01020622602","010206226",1963,NA
"233","01020622701","010206227",1964,NA
"234","01020622702","010206227",1957,NA
"235","01020630101","010206301",1962,NA
"236","01020630201","010206302",1956,NA
"237","01020630202","010206302",1955,NA
"238","01020630301","010206303",1938,NA
"239","01020630302","010206303",1932,NA
"240","01020630401","010206304",1957,NA
"241","01020630402","010206304",1956,NA
"242","01020630501","010206305",1954,NA
