"","ID","n_older_bro","n_younger_bro","n_older_sis","n_younger_sis","n_alive_children","child_residence_distance","child_location_type","child_occupation"
"1","094004126001",1,0,0,1,1,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"2","094004129001",1,1,2,1,2,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"3","094004127001",1,1,1,0,2,"6 Other",NA,"3 Clerk"
"4","094004113002",0,0,2,0,NA,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"5","094004103001",0,0,1,0,NA,"1 This Household, and Economicly Dependent","1 City","2 Professional and Technician"
"6","094004111002",0,0,2,3,1,"1 This Household, and Economicly Dependent",NA,"3 Clerk"
"7","094004105001",4,0,1,1,1,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"8","094004110001",NA,NA,NA,NA,3,NA,"1 City",NA
"9","094004115002",0,0,0,0,2,"3 Same or Adjacent Dwelling/Courtyard with You",NA,"4 Commerical and Service worker"
"10","094004108001",0,1,0,1,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"1 Manager"
"11","094004112001",1,1,1,1,0,NA,NA,NA
"12","094004106001",NA,NA,NA,NA,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"13","094004128001",1,1,0,1,1,"7 Abroad","1 City",NA
"14","094004118001",1,1,1,0,1,NA,NA,NA
"15","094004123001",1,0,1,1,1,"2 This Household, but Economicly Independent",NA,"1 Manager"
"16","094004101002",0,0,2,2,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"17","094004104002",2,0,1,0,2,"2 This Household, but Economicly Independent","1 City","3 Clerk"
"18","094004120002",1,0,0,0,1,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"19","094004121001",0,0,0,0,0,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City",NA
"20","094004119002",0,0,0,0,2,"6 Other","4 Village","5 Agricultural, Forestry, Husbandry and Fishery Producer"
"21","094004122002",2,0,0,1,1,"1 This Household, and Economicly Dependent",NA,"4 Commerical and Service worker"
"22","094004109001",0,2,2,1,0,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"23","094004116002",0,1,0,1,0,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"24","094004117002",0,0,0,1,3,"6 Other","1 City","3 Clerk"
"25","094004107001",3,1,1,0,0,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"26","094004310002",0,1,0,1,NA,NA,NA,NA
"27","094004301003",0,0,0,1,4,"6 Other","1 City",NA
"28","094004302002",1,0,0,1,1,"1 This Household, and Economicly Dependent",NA,NA
"29","094004308001",0,2,0,1,NA,"2 This Household, but Economicly Independent","1 City","4 Commerical and Service worker"
"30","094004303001",0,4,0,0,1,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"31","094004312002",0,1,1,0,1,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"32","094004311001",2,1,1,0,1,"1 This Household, and Economicly Dependent",NA,NA
"33","094004306001",1,1,0,0,1,"2 This Household, but Economicly Independent",NA,"3 Clerk"
"34","094004309001",0,0,0,3,1,"1 This Household, and Economicly Dependent",NA,"3 Clerk"
"35","094004219001",0,0,0,0,4,"1 This Household, and Economicly Dependent","1 City",NA
"36","094004220002",1,0,0,1,1,"2 This Household, but Economicly Independent",NA,"1 Manager"
"37","094004210001",1,1,1,2,1,"2 This Household, but Economicly Independent",NA,"6 Production and Transportation worker"
"38","094004215001",0,1,0,3,6,"2 This Household, but Economicly Independent",NA,NA
"39","094004217001",2,2,0,0,3,NA,NA,NA
"40","094004201001",0,1,0,0,1,"2 This Household, but Economicly Independent",NA,"2 Professional and Technician"
"41","094004209002",1,2,0,2,2,"1 This Household, and Economicly Dependent",NA,"2 Professional and Technician"
"42","094004213001",0,2,0,0,4,"6 Other","2 County","1 Manager"
"43","094004208002",0,1,0,3,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"3 Clerk"
"44","094004223002",0,0,0,0,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"45","094004214002",0,3,0,1,4,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District","1 City","1 Manager"
"46","094004216001",0,2,1,3,1,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"4 Commerical and Service worker"
"47","094004204002",0,1,0,1,3,"1 This Household, and Economicly Dependent","1 City","4 Commerical and Service worker"
"48","094004212002",0,2,0,1,2,"2 This Household, but Economicly Independent",NA,"4 Commerical and Service worker"
"49","094004222001",3,0,0,2,NA,"5 Another Village/Neighborhood in Your Permanent Address's County/City/District",NA,"1 Manager"
"50","094004206002",0,1,1,1,2,"4 Another Household in Your Permanent Address's Village/Neighborhood","1 City","6 Production and Transportation worker"
"51","194037216001",0,1,0,3,2,"6 Other","2 County","4 Commerical and Service worker"
"52","194037217001",2,1,1,1,3,"6 Other",NA,"4 Commerical and Service worker"
