"","ID","i_crops","i_livestock","i_products","i_business","week__food_buy","week_expend_food_own","week_alcohol_tobacco","month_communication","month_utilities","month_fuels","month_servants","month_transportation","month_dailyitems","month_entertainment","year_clothing","year_travel","year_heating","year_goods","year_education","year_medicine","year_fitness","year_beauty","year_automobile","year_repair","year_management","year_tax","year_donation"
"1","094004126001",NA,NA,NA,NA,1000,NA,300,300,50,40,0,0,150,0,2000,0,2000,0,2000,0,0,0,0,3000,0,0,0
"2","094004113002",NA,NA,NA,NA,200,NA,0,300,240,50,0,350,NA,0,NA,20000,0,NA,0,0,0,NA,120000,NA,0,0,0
"3","094004103001",NA,NA,NA,NA,400,NA,50,NA,35,30,0,400,NA,12,NA,4000,0,0,0,12000,0,150,0,0,0,0,0
"4","094004111002",NA,NA,NA,NA,350,NA,2,300,150,100,0,100,100,100,3000,4000,1000,2000,0,5000,2000,500,0,500,0,0,200
"5","094004105001",NA,NA,NA,NA,250,NA,56,198,660,50,0,96,100,0,4000,0,0,380,0,100,0,0,0,2000,0,50,50
"6","094004110001",NA,NA,NA,NA,500,NA,0,30,200,100,0,0,10,0,100,0,0,0,0,6000,0,0,0,0,0,0,0
"7","094004115002",NA,NA,NA,NA,500,NA,70,100,100,40,0,0,50,0,100,0,0,200,0,10000,0,0,0,0,0,0,200
"8","094004108001",NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","094004112001",NA,NA,NA,NA,200,NA,0,1000,60,50,0,0,100,0,50,0,1000,0,2000,2200,0,0,0,0,0,0,0
"10","094004106001",NA,NA,NA,NA,85,NA,0,NA,4,50,0,0,10,0,0,0,650,0,0,0,0,0,0,0,0,0,0
"11","094004128001",NA,NA,NA,NA,200,NA,0,400,0,50,3000,1000,300,70,5000,20000,0,0,350000,5000,0,4000,0,0,0,0,0
"12","094004118001",NA,NA,NA,NA,300,NA,35,300,250,10,0,20,NA,0,1000,0,0,0,0,12000,0,0,0,0,0,0,0
"13","094004123001",NA,NA,NA,10000,NA,NA,50,200,100,40,0,35,NA,0,2500,0,2000,0,0,450,0,NA,0,0,0,0,0
"14","094004101002",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","094004104002",NA,NA,NA,NA,300,NA,100,200,150,50,0,50,100,0,2000,0,0,0,5000,7000,0,300,0,0,0,0,0
