"","ID","living_standard_compare_neighbor","living_standard_compare_county","income1","income2","cash_at_home","deposit"
"1","094004126001",NA,NA,NA,3000,NA,NA
"2","094004126002",NA,NA,NA,2000,NA,10000
"3","094004113002","1 Much Better","2 A Little Better",NA,1020,400,NA
"4","094004103001","3 About The Same","3 About The Same",NA,NA,2000,1e+05
"5","094004111002","3 About The Same","3 About The Same",NA,NA,3500,90000
"6","094004111001","3 About The Same","3 About The Same",NA,NA,3500,90000
"7","094004105001","3 About The Same","3 About The Same",NA,NA,300,0
"8","094004105002",NA,NA,NA,NA,NA,NA
"9","094004110001","5 Much Worse","5 Much Worse",NA,NA,10000,20000
"10","094004110002","5 Much Worse","5 Much Worse",NA,NA,10000,20000
"11","094004115001","3 About The Same","6 I Do Not Know",NA,NA,3000,80000
"12","094004115002","3 About The Same","6 I Do Not Know",NA,NA,3000,0
"13","094004108001","3 About The Same","4 A Little Worse",NA,NA,NA,NA
"14","094004112001","5 Much Worse","5 Much Worse",NA,NA,3000,20000
"15","094004112002","4 A Little Worse","4 A Little Worse",NA,1400,3000,20000
"16","094004106001","3 About The Same","4 A Little Worse",NA,NA,150,30000
"17","094004128001",NA,NA,NA,NA,3000,NA
"18","094004128002",NA,NA,NA,NA,NA,NA
"19","094004118001","3 About The Same","5 Much Worse",NA,NA,1500,0
"20","094004118002","4 A Little Worse","5 Much Worse",NA,NA,1500,0
"21","094004123002",NA,NA,NA,NA,NA,NA
"22","094004123001",NA,NA,NA,1700,NA,NA
"23","094004101002","6 I Do Not Know","6 I Do Not Know",NA,NA,NA,NA
"24","094004104002","3 About The Same","3 About The Same",NA,NA,2000,23000
"25","094004104001","2 A Little Better","3 About The Same",NA,NA,NA,0
"26","094004120001","4 A Little Worse","5 Much Worse",NA,NA,500,0
"27","094004120002","5 Much Worse","5 Much Worse",NA,NA,500,20000
"28","094004121001","3 About The Same","3 About The Same",NA,NA,300,2e+05
"29","094004121002","3 About The Same","5 Much Worse",NA,NA,300,2e+05
"30","094004119002","3 About The Same","3 About The Same",NA,NA,200,2e+05
"31","094004122001","1 Much Better","3 About The Same",NA,NA,1000,150000
"32","094004122002","3 About The Same","3 About The Same",NA,NA,1000,150000
"33","094004109001","4 A Little Worse","3 About The Same",NA,NA,300,80000
"34","094004109002","3 About The Same","3 About The Same",NA,900,400,180000
"35","094004116001","3 About The Same","6 I Do Not Know",NA,NA,3000,0
"36","094004116002","6 I Do Not Know","3 About The Same",NA,NA,3000,NA
"37","094004117002","6 I Do Not Know","3 About The Same",NA,NA,25000,NA
"38","094004117001","6 I Do Not Know","4 A Little Worse",NA,NA,25000,1e+05
"39","094004107001","3 About The Same","3 About The Same",NA,NA,10000,101
"40","094004310002",NA,NA,NA,NA,NA,NA
"41","094004301001","5 Much Worse","3 About The Same",NA,NA,3000,3e+05
"42","094004301003",NA,NA,NA,NA,3000,0
"43","094004302002",NA,NA,NA,NA,NA,NA
"44","094004302001",NA,NA,NA,NA,NA,NA
"45","094004308001","5 Much Worse","6 I Do Not Know",NA,NA,2500,30000
"46","094004303001","3 About The Same","2 A Little Better",NA,NA,5000,2e+05
"47","094004303002","3 About The Same","2 A Little Better",NA,NA,5000,2e+05
"48","094004312002",NA,NA,NA,NA,1000,NA
"49","094004311002",NA,NA,NA,NA,NA,NA
"50","094004311001",NA,NA,NA,NA,2000,NA
"51","094004306002",NA,NA,NA,NA,NA,NA
"52","094004306001","3 About The Same","3 About The Same",NA,6000,2000,125000
"53","094004309001","5 Much Worse","4 A Little Worse",NA,NA,1000,20000
"54","094004219001","4 A Little Worse","5 Much Worse",NA,NA,4000,30000
"55","094004219002","4 A Little Worse","4 A Little Worse",NA,NA,300,0
"56","094004220002","6 I Do Not Know","3 About The Same",NA,NA,1500,5e+05
"57","094004220001","3 About The Same","3 About The Same",NA,NA,1500,5e+05
"58","094004210002","4 A Little Worse","5 Much Worse",NA,3100,500,0
"59","094004210001","4 A Little Worse","4 A Little Worse",NA,NA,5000,2e+05
"60","094004215002","4 A Little Worse","3 About The Same",NA,NA,3000,0
"61","094004215001","4 A Little Worse","5 Much Worse",NA,NA,3000,0
"62","094004217001","6 I Do Not Know","3 About The Same",NA,NA,5000,20000
"63","094004201001","3 About The Same","3 About The Same",NA,1300,NA,NA
"64","094004201002","2 A Little Better","2 A Little Better",NA,4000,4000,0
"65","094004209002",NA,NA,NA,NA,NA,NA
"66","094004209001",NA,NA,NA,NA,NA,NA
"67","094004213001","1 Much Better","3 About The Same",NA,NA,2000,50000
"68","094004213002","3 About The Same","3 About The Same",NA,NA,2000,50000
"69","094004208002","3 About The Same","3 About The Same",NA,NA,1000,2e+05
"70","094004208001",NA,NA,NA,NA,NA,NA
"71","094004223002",NA,NA,NA,NA,500,NA
"72","094004223001",NA,NA,NA,NA,2500,3e+05
"73","094004214002","2 A Little Better","3 About The Same",NA,12000,5000,1e+05
"74","094004214001","3 About The Same","3 About The Same",NA,5000,5000,1e+05
"75","094004216002","3 About The Same","4 A Little Worse",NA,NA,8000,100
"76","094004216001","3 About The Same","5 Much Worse",NA,NA,8000,36000
"77","094004204001",NA,NA,NA,NA,NA,NA
"78","094004204002","3 About The Same","3 About The Same",NA,NA,2000,1e+05
"79","094004212002","3 About The Same","5 Much Worse",NA,NA,1e+05,1e+05
"80","094004212001",NA,NA,NA,NA,NA,NA
"81","094004222001","1 Much Better","1 Much Better",NA,NA,30000,4e+05
"82","094004206002","3 About The Same","3 About The Same",NA,NA,1000,130000
"83","094004206001","3 About The Same","3 About The Same",NA,NA,1000,130000
"84","194037216001","6 I Do Not Know","5 Much Worse",NA,NA,NA,NA
"85","194037216002","3 About The Same","5 Much Worse",NA,NA,3000,0
"86","194037217001","4 A Little Worse","3 About The Same",NA,2500,5000,0
"87","194037217002",NA,NA,NA,NA,NA,NA
"88","194037205001","6 I Do Not Know","6 I Do Not Know",NA,NA,500,10000
"89","194037205002","6 I Do Not Know","6 I Do Not Know",NA,NA,500,0
"90","194037221002",NA,NA,NA,NA,30000,5e+05
"91","194037221001",NA,NA,NA,NA,30000,5e+05
"92","194037203001","3 About The Same","3 About The Same",NA,NA,NA,NA
"93","194037203002","3 About The Same","6 I Do Not Know",NA,NA,NA,0
"94","194037223002",NA,NA,NA,NA,NA,NA
"95","194037223001",NA,NA,NA,NA,NA,NA
"96","194037222001",NA,NA,NA,NA,NA,NA
