"","ID","life_satis"
"1","094004126001","3 Somewhat satisfied"
"2","094004126002","3 Somewhat satisfied"
"3","094004129001","3 Somewhat satisfied"
"4","094004127001",NA
"5","094004127002",NA
"6","094004113002","3 Somewhat satisfied"
"7","094004103001","3 Somewhat satisfied"
"8","094004111002","3 Somewhat satisfied"
"9","094004111001","3 Somewhat satisfied"
"10","094004105001","2 Very satisfied"
"11","094004105002",NA
"12","094004110001","3 Somewhat satisfied"
"13","094004110002","1 Completely satisfied"
"14","094004115001","3 Somewhat satisfied"
"15","094004115002","3 Somewhat satisfied"
"16","094004108001","1 Completely satisfied"
"17","094004112001","3 Somewhat satisfied"
"18","094004112002","3 Somewhat satisfied"
"19","094004106001","4 Not very satisfied"
"20","094004128001","3 Somewhat satisfied"
"21","094004128002",NA
"22","094004118001","4 Not very satisfied"
"23","094004118002","4 Not very satisfied"
"24","094004123002",NA
"25","094004123001","3 Somewhat satisfied"
"26","094004101002","3 Somewhat satisfied"
"27","094004104002","3 Somewhat satisfied"
"28","094004104001","2 Very satisfied"
"29","094004120001","3 Somewhat satisfied"
"30","094004120002","3 Somewhat satisfied"
"31","094004121001","3 Somewhat satisfied"
"32","094004121002","1 Completely satisfied"
"33","094004119002","1 Completely satisfied"
"34","094004122001","3 Somewhat satisfied"
"35","094004122002","2 Very satisfied"
"36","094004109001","3 Somewhat satisfied"
"37","094004109002","3 Somewhat satisfied"
"38","094004116001","3 Somewhat satisfied"
"39","094004116002","3 Somewhat satisfied"
"40","094004117002","2 Very satisfied"
"41","094004117001","2 Very satisfied"
"42","094004107001","1 Completely satisfied"
"43","094004301001","4 Not very satisfied"
"44","094004301003","3 Somewhat satisfied"
"45","094004302002",NA
"46","094004302001",NA
"47","094004308001","3 Somewhat satisfied"
"48","094004303001","2 Very satisfied"
"49","094004303002","2 Very satisfied"
"50","094004312002","3 Somewhat satisfied"
"51","094004311002",NA
"52","094004311001","3 Somewhat satisfied"
"53","094004306002",NA
"54","094004306001","2 Very satisfied"
"55","094004309001","2 Very satisfied"
"56","094004219001","3 Somewhat satisfied"
"57","094004219002","2 Very satisfied"
"58","094004220002","3 Somewhat satisfied"
"59","094004220001","3 Somewhat satisfied"
"60","094004210002","3 Somewhat satisfied"
"61","094004210001","3 Somewhat satisfied"
"62","094004215002","3 Somewhat satisfied"
"63","094004215001","3 Somewhat satisfied"
"64","094004217001","2 Very satisfied"
"65","094004201001","3 Somewhat satisfied"
"66","094004201002","2 Very satisfied"
"67","094004209002",NA
"68","094004209001",NA
"69","094004213001","2 Very satisfied"
"70","094004213002","3 Somewhat satisfied"
"71","094004208002","3 Somewhat satisfied"
"72","094004208001",NA
"73","094004223002","3 Somewhat satisfied"
"74","094004223001","3 Somewhat satisfied"
"75","094004214002","3 Somewhat satisfied"
"76","094004214001",NA
"77","094004216002","2 Very satisfied"
"78","094004216001","2 Very satisfied"
"79","094004204001",NA
"80","094004204002","1 Completely satisfied"
"81","094004212002","3 Somewhat satisfied"
"82","094004212001",NA
"83","094004222001","3 Somewhat satisfied"
"84","094004206002","3 Somewhat satisfied"
"85","094004206001","2 Very satisfied"
"86","194037216001","3 Somewhat satisfied"
"87","194037216002","4 Not very satisfied"
"88","194037217001","2 Very satisfied"
"89","194037217002",NA
"90","194037205001","3 Somewhat satisfied"
"91","194037205002","3 Somewhat satisfied"
"92","194037221002","3 Somewhat satisfied"
"93","194037221001","1 Completely satisfied"
"94","194037203001","2 Very satisfied"
"95","194037203002","2 Very satisfied"
"96","194037223002","3 Somewhat satisfied"
"97","194037223001","3 Somewhat satisfied"
"98","194037222001","4 Not very satisfied"
"99","194037222002","3 Somewhat satisfied"
"100","194037215002","3 Somewhat satisfied"
"101","194037215001","3 Somewhat satisfied"
